epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.159,2.08774,4.19714,2.20698,0.00332,1,0.36352,0.16569,1.5478,3.87988,1.61927,0.000543319,0.000543319,0.000543319
2,261.641,1.30532,2.5712,1.43266,0.48296,0.91036,0.53628,0.2277,1.69427,3.17723,1.24152,0.00107723,0.00107723,0.00107723
3,388.294,1.10607,2.15926,1.25221,0.46312,0.83051,0.56261,0.27748,1.85851,3.07752,1.49851,0.00158913,0.00158913,0.00158913
4,515.454,0.94578,1.9188,1.16845,0.50124,0.98989,0.55604,0.44699,0.87383,1.90482,0.37963,0.00156798,0.00156798,0.00156798
5,645.711,0.93463,1.78409,1.14343,0.47673,0.98956,0.71087,0.5375,0.74128,1.68134,0.44724,0.00153497,0.00153497,0.00153497
6,771.7,0.84284,1.59367,1.09103,0.95845,0.79032,0.88646,0.72708,0.65709,1.42178,0.57752,0.00150197,0.00150197,0.00150197
7,899.479,0.76864,1.27427,1.08435,0.98511,1,0.995,0.84311,0.54482,1.08608,0.74977,0.00146896,0.00146896,0.00146896
8,1016.06,0.72038,1.16164,1.05689,0.98487,0.99464,0.995,0.84763,0.64346,1.01108,0.80589,0.00143595,0.00143595,0.00143595
9,1132.39,0.67659,1.04456,1.0467,0.98756,0.99843,0.995,0.8249,0.68881,0.97376,0.6626,0.00140295,0.00140295,0.00140295
10,1247.63,0.64073,0.95245,1.02765,0.9788,0.99984,0.98547,0.86636,0.48079,0.76843,0.46588,0.00136994,0.00136994,0.00136994
11,1360.47,0.68664,0.96451,1.0356,0.99087,0.999,0.995,0.93653,0.36772,0.73365,0.27129,0.00133693,0.00133693,0.00133693
12,1473.53,0.62078,0.90301,1.00709,0.97621,0.9924,0.995,0.92533,0.36897,0.63645,0.32755,0.00130393,0.00130393,0.00130393
13,1586.42,0.5376,0.78095,0.96728,0.99592,0.99968,0.995,0.98481,0.26754,0.48978,0.27198,0.00127092,0.00127092,0.00127092
14,1700.61,0.51984,0.75557,0.95533,0.9976,1,0.995,0.96317,0.31162,0.45621,0.28428,0.00123791,0.00123791,0.00123791
15,1814.44,0.52594,0.71308,0.95667,0.99782,1,0.995,0.96076,0.3321,0.50559,0.2688,0.00120491,0.00120491,0.00120491
16,1929.66,0.46902,0.64778,0.94773,0.99743,1,0.995,0.98335,0.30603,0.43902,0.26536,0.0011719,0.0011719,0.0011719
17,2045.02,0.48237,0.64334,0.93416,0.99828,1,0.995,0.97933,0.30822,0.42993,0.188,0.00113889,0.00113889,0.00113889
18,2158.79,0.47823,0.60341,0.9247,0.99762,1,0.995,0.96086,0.38255,0.48985,0.3457,0.00110589,0.00110589,0.00110589
19,2271.48,0.44101,0.60305,0.93436,0.99836,1,0.995,0.97425,0.27485,0.36179,0.21718,0.00107288,0.00107288,0.00107288
20,2386.02,0.45268,0.61311,0.92621,0.99699,1,0.995,0.98713,0.24501,0.37643,0.22679,0.00103987,0.00103987,0.00103987
21,2500.07,0.42187,0.55251,0.91796,0.99792,1,0.995,0.99062,0.23077,0.30009,0.23458,0.00100687,0.00100687,0.00100687
22,2615.65,0.41864,0.55298,0.91771,0.99835,1,0.995,0.98448,0.23993,0.3399,0.32008,0.000973861,0.000973861,0.000973861
23,2729.02,0.42117,0.54722,0.91539,0.99749,1,0.995,0.98115,0.27453,0.36928,0.28936,0.000940855,0.000940855,0.000940855
24,2841.7,0.40292,0.55466,0.90167,0.99601,0.99297,0.995,0.96095,0.30506,0.3648,0.33838,0.000907848,0.000907848,0.000907848
25,2955.41,0.37905,0.51929,0.89132,0.9974,1,0.995,0.97763,0.27181,0.38603,0.32134,0.000874842,0.000874842,0.000874842
26,3069.82,0.38259,0.51599,0.90128,0.99794,1,0.995,0.98866,0.28601,0.35218,0.26804,0.000841835,0.000841835,0.000841835
